SHOP_ID,CP01,CP02,CP03,ESTADO,ESTADO,REGION
1,0,1,1,15,1,SUR
2,0,1,1,31,2,NORTE
3,0,1,1,14,3,NORTE
4,0,1,1,14,4,NORTE
5,0,1,1,26,5,OESTE
6,0,1,1,24,6,ESTE
7,0,0,1,32,7,OESTE
8,0,1,1,11,8,NORTE
9,0,1,1,6,9,OESTE
10,0,1,1,18,10,NORTE
11,0,1,1,15,11,NORTE
12,0,1,1,20,12,ESTE
13,0,1,1,11,13,SUR
14,0,0,1,7,14,SUR
15,0,1,1,14,15,ESTE
16,0,1,1,6,16,NORTE
17,0,0,1,31,17,ESTE
18,0,1,1,16,18,ESTE
19,0,1,1,17,19,SUR
20,0,1,1,28,20,ESTE
21,0,1,1,26,21,SUR
22,0,0,1,16,22,NORTE
23,0,1,1,22,23,NORTE
24,0,0,1,19,24,OESTE
25,0,0,1,24,25,SUR
26,0,1,1,15,26,ESTE
27,0,1,1,19,27,SUR
28,0,1,1,7,28,OESTE
29,0,0,1,12,29,ESTE
30,0,1,0,26,30,OESTE
31,0,1,1,15,31,NORTE
32,0,1,1,28,32,OESTE
33,0,1,1,24,,
34,0,1,1,24,,
35,0,1,1,26,,
36,0,1,1,21,,
37,0,1,1,20,,
38,0,1,0,13,,
39,0,1,1,13,,
40,0,1,1,19,,
41,0,1,1,24,,
42,0,1,1,23,,
43,0,1,1,8,,
44,0,1,1,10,,
45,0,1,1,9,,
46,0,1,1,8,,
47,0,0,1,21,,
48,0,0,1,12,,
49,1,1,1,11,,
50,0,0,1,12,,
51,0,1,1,30,,
52,0,1,1,2,,
53,0,1,1,23,,
54,0,0,1,19,,
55,0,1,1,11,,
56,0,0,1,12,,
57,0,0,1,30,,
58,1,0,1,29,,
59,0,1,1,10,,
60,0,0,0,32,,
61,0,0,0,15,,
62,0,1,1,10,,
63,0,1,0,3,,
64,0,0,1,27,,
65,0,1,1,3,,
66,0,0,1,21,,
67,1,1,1,30,,
68,0,1,1,26,,
69,0,1,1,16,,
70,0,1,1,25,,
71,0,1,1,13,,
72,0,1,1,15,,
73,0,1,1,26,,
74,0,1,1,30,,
75,0,0,1,6,,
76,0,1,1,2,,
77,0,1,1,3,,
78,0,1,1,6,,
79,0,1,1,28,,
80,0,1,0,8,,
81,0,1,1,6,,
82,0,1,0,16,,
83,0,0,0,30,,
84,0,1,1,21,,
85,0,1,1,24,,
86,0,1,1,32,,
87,0,1,1,3,,
88,0,1,1,18,,
89,0,1,1,31,,
90,0,1,1,10,,
91,0,1,1,13,,
92,0,1,1,18,,
93,0,1,1,25,,
94,0,1,1,27,,
95,0,1,1,7,,
96,0,0,1,22,,
97,0,1,1,30,,
98,0,0,1,9,,
99,0,1,1,19,,
100,0,0,1,3,,
